ЧАСТОТНЫЙ АНАЛИЗ ЗАШИФРОВАННОГО ТЕКСТА
============================================================

Всего символов: 645
Уникальных символов: 32

Символ       | Кол-во     | Частота (%)  | Предположение
------------------------------------------------------------
>            | 82         | 12.71        |   (12.9%)
2            | 80         | 12.40        | О (9.6%)
a            | 51         | 7.91         | И (7.5%)
А            | 47         | 7.29         | Е (7.2%)
7            | 40         | 6.20         | А (6.5%)
О            | 37         | 5.74         | Н (6.2%)
r            | 35         | 5.43         | Т (6.2%)
1            | 35         | 5.43         | С (5.2%)
Р            | 30         | 4.65         | Р (4.1%)
Ф            | 23         | 3.57         | В (3.9%)
Е            | 21         | 3.26         | М (3.0%)
[ПРОБЕЛ]     | 20         | 3.10         | Л (2.9%)
Х            | 18         | 2.79         | Д (2.7%)
Д            | 17         | 2.64         | Я (2.6%)
9            | 16         | 2.48         | К (2.6%)
У            | 15         | 2.33         | П (2.5%)
3            | 9          | 1.40         | З (1.6%)
b            | 8          | 1.24         | Ы (1.6%)
t            | 8          | 1.24         | Ь (1.5%)
<            | 8          | 1.24         | У (1.3%)
0            | 7          | 1.09         | Ч (1.2%)
8            | 5          | 0.78         | Ж (1.1%)
Ы            | 5          | 0.78         | Г (1.0%)
Я            | 5          | 0.78         | Х (0.9%)
М            | 4          | 0.62         | Ф (0.7%)
Й            | 4          | 0.62         | Й (0.7%)
Л            | 3          | 0.47         | Ю (0.7%)
c            | 3          | 0.47         | Б (0.7%)
Б            | 3          | 0.47         | Ц (0.5%)
Ь            | 3          | 0.47         | Ш (0.4%)
К            | 2          | 0.31         | Щ (0.4%)
И            | 1          | 0.16         | Э (0.2%)
